Account ID,Month,Service,Usage,Cost,CPU Utilization (%),Memory Usage (%),Network In (GB),Network Out (GB),Instance Hours,Instance Type,Storage Used (GB),Storage Class,Object Count,Invocation Count,Execution Time (ms),Memory Allocation (MB),Query Count,Active Connections,Idle Hours,Storage (GB),DB Engine,Pod Count,Node Count,CPU Requests (%),Memory Requests (%),Data Transfer (GB),Request Count,Read Capacity,Write Capacity,Throttling Events,Billing Mode,Read IOPS,Write IOPS,Snapshot Frequency,Volume Size (GB),Volume Type,ETL Job Runs,Data Processed (GB),Query Execution Time (ms)
ACC0001,2024-02,EC2,1089.65,181.91,413.93,486.46,486.05,531.77,509.31,m5.large,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,S3,948.45,308.22,0.0,0.0,0.0,0.0,0.0,N/A,604.33,Hot,451.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,Lambda,339.67,147.77,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,11.7,883.65,2048.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,RDS,182.3,55.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,440.58,883.7,73.53,674.54,Aurora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,EKS,2506.39,685.62,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,6.67,602.13,505.85,440.24,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,CloudFront,4185.29,1214.52,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,197.91,523.75,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,DynamoDB,3790.42,948.73,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,895.6,984.19,202.1,On-Demand,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,EBS,3651.36,1077.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,476.33,349.35,919.34,618.13,gp2,0.0,0.0,0.0
ACC0001,2024-02,VPC,621.79,309.4,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,CloudWatch,268.61,54.8,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,Route 53,237.29,73.67,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,SNS,3547.12,272.99,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,SQS,4046.83,627.78,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-02,Glue,1667.64,490.92,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,506.75,671.61,0.0
ACC0001,2024-02,Redshift,3718.15,108.58,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.36,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,558.36
ACC0001,2024-03,EC2,1170.68,256.86,892.63,538.31,717.6,202.41,443.32,t3.medium,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,S3,4557.73,746.0,0.0,0.0,0.0,0.0,0.0,N/A,242.61,Warm,75.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,Lambda,1424.49,400.34,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,631.64,899.21,1024.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,RDS,1903.47,146.5,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,955.19,117.21,27.9,714.96,Aurora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,EKS,3643.2,1253.73,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,563.64,501.53,481.54,846.52,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,CloudFront,980.32,390.05,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,633.54,247.68,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,DynamoDB,3335.28,207.86,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,276.36,609.35,993.1,On-Demand,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,EBS,1498.0,376.54,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,331.09,609.09,528.28,756.26,io1,0.0,0.0,0.0
ACC0001,2024-03,VPC,2772.06,770.44,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,CloudWatch,1091.06,455.38,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,Route 53,4569.59,2134.59,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,SNS,4753.3,382.64,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,SQS,3143.9,1273.8,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-03,Glue,320.47,152.19,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,209.25,229.01,0.0
ACC0001,2024-03,Redshift,1527.06,601.25,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.7,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,68.59
ACC0001,2024-04,EC2,414.12,78.74,577.88,614.83,652.14,803.48,238.2,m5.large,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,S3,3864.11,1075.72,0.0,0.0,0.0,0.0,0.0,N/A,364.32,Warm,953.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,Lambda,1917.01,706.37,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,339.01,160.17,4096.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,RDS,800.56,68.17,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,952.38,196.63,340.33,533.85,MySQL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,EKS,2591.89,100.07,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,438.32,359.34,564.79,918.88,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,CloudFront,4526.04,1324.17,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,849.47,674.59,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,DynamoDB,3445.53,1385.41,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,101.73,649.62,206.08,On-Demand,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,EBS,3049.55,508.9,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,341.96,428.93,894.85,36.5,gp2,0.0,0.0,0.0
ACC0001,2024-04,VPC,1814.65,19.63,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,CloudWatch,2194.1,697.22,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,Route 53,3924.4,551.03,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,SNS,3299.79,663.92,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,SQS,4201.08,787.5,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-04,Glue,3894.71,212.42,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,831.0,20.45,0.0
ACC0001,2024-04,Redshift,219.95,83.71,0.0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.69,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,269.86
ACC0001,2024-05,EC2,2808.42,52.24,654.07,290.48,476.33,840.0,58.91,t3.micro,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
ACC0001,2024-05,S3,16.15,4.97,0.0,0.0,0.0,0.0,0.0,N/A,156.45,Warm,87.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0
